,label,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_27,feature_28,feature_29,feature_30
0,0,2.008984066745557,3.4560347380327476,0.37104102023591723,-0.15636612356199672,0.7481373811895328,-0.46487125038586097,0.08256138343507749,-0.5724634147900141,-6.850930228592215,1.2334577811505363,0.9079332061010462,2.8668677418847035,2.870072448369723,-2.613483593538779,1.5904407005193484,5.259118883754744,0.32476552820703375,-0.06524208448743615,-1.3088463528359688,4.060550772720373,0.2573107109897653,1.7847344168955623,-0.5906682997330212,-1.6331072859106992,-0.756230566209429,0.28443701652971765,2.5780030405778556,2.6989340024868897,1.04340812770081,-0.2639723391002866
1,0,2.652266526023953,-9.789318587407497,1.7535051762479086,2.4923271501059765,0.6515944382653096,0.880535420635837,-3.5852945023500813,-1.3736818766476688,5.1818392350633,0.15937911793137477,-0.07973093051051824,-0.6374141382854611,-1.2896289156074099,1.869902574359804,-1.0288019241490713,-1.13388048418643,-0.8072809368816369,0.34332555947007914,3.7680835941883695,1.838715144877374,1.1070510439884806,-0.8310192417243278,-2.876974414525708,-6.251902765032732,-0.3840479849743731,-1.3591678699346184,-4.704556828735251,-0.13433898046938098,-0.3036418452013542,-1.612828583431581
2,2,0.059345333125760874,-4.5878138283249985,0.8481729362874776,-3.155153155137707,0.5279406774887039,0.7164227789021963,-1.8388714958965666,0.679738455454636,-3.985467485982395,0.40863551490978456,0.22869320502169355,3.287999174917675,1.6168313795875822,-0.926356690227491,-0.7786303412881811,1.312802857927252,-1.1147765849840212,4.028676142121509,-2.146483593102801,-0.44293218897510844,-4.918122076086942,-3.548772280705559,-5.830112451148151,1.1711770106202968,0.3581943404036213,-0.33637481627581267,-5.369520098539244,-0.6836336249085374,0.7871931010822513,-0.9189488372236573
3,0,0.29531721190042104,1.563251571940225,-1.0436815255384901,4.183121049829452,0.1950256396775793,-1.6596250431676693,-2.5727021088306365,0.19046073232128174,1.4698878316685136,1.1808507015058902,-1.2301138898411161,0.01747450714268098,0.2691003017351903,-4.218426295990272,-1.487052857933465,-2.4262906391147783,1.75346973379748,-1.293760115518019,-0.14658424183842164,-0.8238618500595526,0.5704072230283876,-1.9349354924952737,0.86614006518634,-10.606007297529343,-0.33231771863756554,0.4705861156690363,1.5865161000576546,-1.0311489346291167,1.1204125749615759,1.101818735654744
4,0,2.0879353620534977,2.4688471649159003,-0.15957914010496246,-1.8405821629872618,-0.36499789646725933,-0.14293014763398035,2.387398298791177,0.49928600219976027,-5.968211263639,-0.7821926827648309,-0.6867661406052084,-2.145893837323701,2.401726501062145,-3.533578774754047,-0.564460969578374,4.116807269520374,1.680771090979717,-4.222527897817214,-1.6730349922766368,4.47690893790824,0.6888751860475342,-2.9510770959967396,-7.875574251218014,-5.886806708458808,1.3430145723322844,0.3195359549693582,-0.2687158359655173,1.7949893298592923,0.9160285458814268,0.9950270203262573
5,1,-3.8917116689152866,-0.11416100679228133,0.8804911527895225,-5.167827850328856,0.17086213422297314,-0.45435919735061703,2.856833597725004,-0.17463745915651438,-9.011479138213529,0.5227929595258058,-0.9832795139121197,2.651770623991047,-1.3051001241910924,3.476458222382887,-0.8994578339992115,1.7622499100234865,4.831038527261349,0.366658534395618,3.992958983450153,-3.3099749646392067,-0.6603311163759292,3.349504333977064,11.061823290521659,7.843279979705817,3.879980677108447,-0.6635581181951152,1.6912320836263657,-0.6680546517495696,-0.3053648390432895,0.3223740661472082
6,1,-3.3765844245058885,-3.9663147053586676,-1.0785453176678679,-3.051081446709828,1.1970121019414397,0.485704678061486,-1.1909394710435413,0.15416904292250444,-3.050161428176367,0.822297931737182,0.05650011499333127,-0.9366927707165661,5.85641211258129,1.9943869334635327,-0.7465131676321298,-3.264292452166344,4.669320185320052,-4.447760016153869,-0.40977471874304305,-3.0367323105475132,-1.8441001798622634,3.4298834152060467,-1.745960146124465,-2.2953361305468993,3.0815803582482637,0.9572439460163857,-2.3241703151376165,1.078557679723565,0.9881050683951879,-1.5347851286077407
7,2,2.5964215334028222,2.9429802444779494,1.4705542476955116,1.9419570684023482,1.9641317287154398,-0.4854874647867494,-1.6208434156752682,1.0425681760884455,-1.4540747253444932,-0.5784363710613355,-0.7648717312112298,5.699535151115063,-3.8253221098364123,2.0126797660722584,1.2130594648323063,-2.5088623819919182,-2.4917607500579613,-0.28482627760523405,-2.868594402070562,-2.543627853281032,-3.025200847224061,-3.38002306243902,6.407358290024046,0.9644261418910106,-0.22757258915900822,0.18095429703119703,3.415602991505694,1.0843774368854764,0.1725465536226862,-0.21372909817836364
8,2,-4.081669270602687,-3.8567614031858843,0.8429891131370074,-0.6379962022618212,1.2882995379375235,-1.6056823842993673,1.4103058677158509,0.7817420335919332,-1.3128523236585805,-0.5536543295950458,-0.27042873104126985,-0.43002069351171623,1.5227434743500634,-2.1694696903918014,-1.6914839921272156,0.829251967275013,-1.2690980221192394,0.3742400485959533,2.2180961685516385,2.4641542345160055,1.9695027540344965,-1.7496585165035006,0.5217991131171436,-0.9983534882092878,2.3007036699744052,1.198627380487116,0.7861359360169765,0.7506631801411936,-0.6659204584735363,-0.23438222267830125
9,1,1.623542105940209,7.980392348868325,0.5257500253785157,-0.40946236705159456,0.31702880191507005,-0.16770743291403759,7.865856982536443,-1.2315324364242868,-1.983238528709954,0.48772871373193794,-0.9742228523798627,-1.096391789096418,-1.170259216118736,-2.500915992637593,1.3615029795559925,-1.7795943933155107,3.4839040664480634,0.1543160071586879,1.3107951117121361,2.2018952942513894,2.7214856986007114,-2.7034957721287514,-8.167137474626866,-0.2874317044242708,-1.7370943324161803,-0.9971646203839902,-2.4904025225323676,-0.29998496311199063,-0.9367832699342008,0.46864498383146835
